time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,q0,q1,q2,q3,wx_rads,wy_rads,wz_rads,speed_ms,dynamic_pressure_Pa,angle_of_attack_deg,mach_number
0.0,0.0,0.0,0.0,584.7773080412749,0.0,584.7773080412749,0.9238795325112867,0.0,-0.3826834323650898,0.0,1800.0,0.0,0.0,827.0000000000001,418910.70703337505,8.537736462515939e-07,2.4302637230429274
0.5,287.1993538971857,-8.40136009364046e-06,287.5252186752103,564.3220376061802,-4.7531377981355805e-05,565.520959127124,-0.38603249833074854,0.8394497923912119,0.15988456637872392,0.3477218723877827,1686.8926690689518,-0.0006361929584365858,0.006532920147591544,798.920094465057,380268.19505150366,0.06050896508682769,2.3553975727187444
1.0,564.6060571262177,-5.6552966538925315e-05,565.7084550847845,545.5719603940776,-0.00014994034651866228,547.3900646683546,-0.7580459079727995,0.5283429361692545,0.3139628505941012,0.21889904730367726,1586.9944786843726,-0.0009132212594544198,0.009717621037100336,772.8419287706153,346380.42883901036,0.09496882986177055,2.285743197660518
1.5,833.0231391960479,-0.00015998075936777582,835.0846156013059,528.3337300384394,-0.00026269530516030704,530.2755824191032,-0.06510143585846465,-0.9217367987248746,0.027074756453201454,-0.38180660623710544,1498.258834696517,-0.0011075529226143902,0.010606942716134176,748.5510828302359,316521.46867464285,0.10378279860139701,2.220745985480508
2.0,1093.1639186667255,-0.00031609534301114327,1096.1373023679214,512.4410403653234,-0.00035688365795017194,514.08105492823,-0.08053349083734168,-0.9205474957106284,0.03351646816671522,-0.38131761872065884,1419.024760428249,-0.0008998402362895425,0.008914452738570095,725.8616609843393,290095.6870945549,0.09009317126473956,2.1599241653436323
2.5,1345.6643873031592,-0.0005106957936346949,1349.3046987034984,497.7502294663552,-0.0004143010002445523,498.72101556649807,-0.02734339350344353,-0.9236956235902012,0.011519203223797153,-0.382639668431101,1347.9326980190262,-0.0004913819895042082,0.005319696502197034,704.6119089978966,266611.27846479154,0.055621472683778976,2.102857785389503
3.0,1591.0936028124663,-0.0007224300907640345,1594.9847074282363,484.1366808592578,-0.00042408514677058634,484.11959178816124,0.8441416411228996,0.37615058198249335,-0.34977963933132156,0.15564010572299047,1283.8609701824457,-0.0002210814008975295,0.002055313491773961,684.6605764221674,245659.71141487983,0.02223483905998746,2.0491795312095076
3.5,1829.9624481464195,-0.0009258494756171357,1833.5394366738058,471.49185833206286,-0.00038039294009989833,470.2092815865891,0.8955515175005284,-0.22834001455999572,-0.3709540273963453,-0.09477219701118711,1225.877323589618,-0.0008520985723850596,0.007649467592150834,665.8838794893168,226899.67358035373,0.08570326525418154,1.9985670302842165
4.0,2062.7295809988723,-0.001093491788378174,2065.2976547955855,459.7125412020401,-0.00028078823032865363,456.92157380743834,-0.5259520704128752,-0.7599764597369929,0.2179850104432111,-0.3147771073851777,1173.2019287863616,-0.0012066864703578703,0.015236531898233832,648.1612030576827,210036.85626186422,0.18125392361520817,1.950700973435523
4.5,2289.8044923053517,-0.0011972848644248469,2290.5549584245646,448.71054497966423,-0.00012511511982963598,444.197715866585,-0.5222582862729533,0.7625378067855916,0.21633814490704925,0.3159131262205949,1125.1789370260508,-0.0028339436257416024,0.024057277746601963,631.3895500854082,194826.06786173742,0.2954901426174787,1.905309169477187
5.0,2511.557928000115,-0.0012094802204660898,2509.5818026738184,438.4156232539841,8.528755571380838e-05,431.9925944491894,0.22889461847504278,0.8954556911100549,-0.09467573095385734,0.37100010654350524,1081.2524877991295,-0.00294843104185614,0.03326020551359468,615.4883105081107,181066.06379050197,0.42880346329513275,1.8621821422375724
5.5,2728.327531120861,-0.001103251893952993,2722.6271920754266,428.76542263433294,0.00034814484038237105,420.2654369622918,-0.7507793925541234,0.5390809751162982,0.3111837265908064,0.22301880174530664,1040.9486249620334,-0.005000543283066404,0.04456204121407259,600.385563743854,168584.68246156536,0.5749567161836499,1.8211327633132712
6.0,2940.421116028235,-0.0008530629258641776,2929.920335041535,419.69927190164026,0.0006606232643168172,408.9742886004871,0.8723221007398707,0.30557279190537284,-0.36106261857564365,0.1271752750170071,1003.8612092016712,-0.004212108127728465,0.05572572799310583,586.0097674710532,157230.17353488586,0.7394069157432456,1.7819715250903383
6.5,3148.1099211281994,-0.00043489114299872193,3131.6627557956826,411.1353743731662,0.0010195265055606133,398.0541909797403,-0.22574041563020864,0.896309813888445,0.09441187603300663,0.37097789187147306,969.642118384747,-0.006965971544849183,0.06515558014284117,572.2581891231777,146852.54364474406,0.9257617863091973,1.74441031424925
